voltage,current,power,FR[%],Q[W],alpha,beta,P[bar],Te_mean[K],Tc_mean[K],Te_std[K],Tc_std[K],T_pulse[K],TR_train[K/W]
63.8,0.944,60.3,60,60,30,0,0.533,324.29,304.025,273.6005552,274.0751126,351.05,0.3377499999999998
63.4,0.934,59.2,60,60,30,0,0.893,355.79,308.1,274.7193948,276.7356194,351.05,0.7948333333333333
90.5,1.324,120,60,120,30,0,1.733,376.47,344.325,276.6459977,293.7631633,0,0.26787499999999986
80.7,1.185,95.7,60,100,60,0,1.503,364.97,350.125,274.1154015,286.0615904,362.37,0.1484499999999997
53.3,0.787,42,60,40,30,0,0.783,352.49,304.875,273.844982,274.4393797,0,1.1903750000000002
89.7,1.308,117.5,60,120,0,0,1.313,395.61,308.225,274.1210819,278.5471443,344.51,0.7282083333333332
52.1,0.77,40.2,60,40,0,0,0.653,344.47,303.8,273.4183282,274.5933757,353.75,1.0167500000000005
90,1.329,119.7,60,120,0,0,0.693,313.75,300.65,274.3416375,273.9027727,344.51,0.10916666666666686
80.6,1.184,95.7,60,100,60,0,1.713,367.71,353.25,273.830441,289.1427067,362.37,0.14459999999999978
63.7,0.941,59.9,60,60,30,0,0.663,345.69,304.775,273.4709361,274.3115363,351.05,0.6819166666666671
52.2,0.771,40.3,60,40,60,0,0.813,354.65,305.35,273.5035534,275.0101075,352.47,1.2325000000000004
82.3,1.208,99.7,60,100,30,0,1.223,362.23,337.2,274.5807341,291.2946962,338.17,0.25029999999999974
72,1.059,76.4,60,80,90,0,1.473,363.61,341.6,274.1688229,292.7502551,314.55,0.2751249999999999
53.5,0.79,42.3,60,40,30,0,0.803,354.27,304.875,273.7720932,274.5073872,0,1.2348749999999995
89.3,1.314,117.3,60,120,90,0,1.383,359.71,347.15,278.450283,277.3847767,0,0.10466666666666669
73.7,1.082,80,60,80,60,0,1.463,364.01,340.725,273.9673127,285.4754141,371.51,0.29106250000000033
81.7,1.196,97.8,60,100,0,0,0.543,378.39,302.775,273.7004544,274.3730427,363.55,0.7561500000000001
72.5,1.074,78.1,60,80,90,0,0.633,333.83,300.9,273.582435,274.3346237,314.55,0.4116250000000001
82,1.217,100,60,100,60,0,0.583,316.67,305.225,273.8110598,274.4725606,362.37,0.11444999999999993
71.4,1.05,75.2,60,80,90,0,1.453,363.67,340.55,273.8620393,283.0387141,314.55,0.28900000000000003
81.9,1.21,99.4,60,100,60,0,0.643,334.93,305.175,273.7918723,274.5073872,362.37,0.29755
53.2,0.788,42,60,40,90,0,0.743,352.47,310.15,273.5462323,278.1944689,322.31,1.0579999999999998
90.1,1.324,119.4,60,120,30,0,1.013,359.69,316.5,275.8791024,279.7537868,0,0.35991666666666666
82.2,1.216,100.1,60,100,0,0,0.463,333.13,301.6,274.6949919,274.1972185,363.55,0.3153000000000003
63.5,0.937,59.6,60,60,60,0,0.763,351.23,310,274.2531772,279.2407033,342.29,0.687166666666666
63.6,0.934,59.5,60,60,0,0,0.933,363.79,305.025,273.6628353,275.2593048,352.85,0.9794166666666665
63.3,0.933,59.2,60,60,60,0,0.913,354.19,315.625,274.1133276,280.5244491,342.29,0.642749999999999
63.7,0.94,60,60,60,0,0,0.643,339.03,304.05,273.4771085,274.494123,352.85,0.5830000000000003
63.5,0.936,59.5,60,60,60,0,0.783,351.99,314.55,274.2002381,282.3492753,342.29,0.6240000000000009
90.7,1.327,120.5,60,120,60,0,1.823,367.69,357.575,274.6426487,283.3732986,333.65,0.08429166666666627
73.6,1.081,79.7,60,80,60,0,1.523,365.31,343.1,273.945613,281.7171855,371.51,0.27762499999999973
90.2,1.322,119.3,60,120,30,0,1.253,364.13,331,277.627946,294.3816588,0,0.2760833333333333
90.9,1.329,120.9,60,120,60,0,2.353,375.41,367.425,274.1028903,288.9987381,333.65,0.06654166666666678
14.1,0.21,3,60,100,30,0,0.293,320.55,306.25,274.279159,273.8938638,338.17,0.14299999999999954
74,1.084,80.3,60,80,60,0,1.213,359.95,329.9,273.867635,286.1969664,371.51,0.37562500000000015
90.9,1.33,121,60,120,60,0,2.333,375.07,365.85,273.9226578,287.9630573,333.65,0.07683333333333309
82.8,1.216,100.8,60,100,90,0,1.803,370.01,357.975,275.0149397,287.4436758,371.29,0.12035000000000025
52.8,0.783,41.5,60,40,90,0,0.673,350.61,310.1,274.6576472,278.8100942,322.31,1.0127500000000011
